id,title,category,price,rating
0PKmbkXjL58J2h-k29bamg,Pizza Cones,"Salad,Pizza,Ice Cream & Frozen Yogurt,Beverage Store,Vegetarian,Fast Food,Food,Restaurants",0.0,4.0
_QEif_l0cDwY73qPA-GTAg,In A Pickle,"Event Planning & Services,Caterers,Sandwiches,Restaurants",0.0,4.0
DQDZQp-THbeWE1uQ7CNZ5w,Colney Delicatessen,"Restaurants,Delis",0.0,4.0
Q9G2gtnVDZgsNerHD9fX3Q,Township Hot Bagel,"Bagels,Breakfast & Brunch,Restaurants,Food,Sandwiches,Delis",0.0,4.0
KqY7GU93Obv2YlKV6Kg3Lg,Red Elephant Cafe,"American (New),Restaurants",0.0,4.0
qJcmu67ZEQ4bd1m9Kh_T1w,Kalbi Asian Bistro,"Restaurants,Korean",0.0,4.0
B61ZWIX1AEl76A2WEdDZMw,Lestardo's Crab House,"Seafood,Restaurants",0.0,4.0
4iAVzKDdK2j7GJK6ZK6Gtg,Mike Duffy's Pub & Grill,"Nightlife,Restaurants,Bars,American (Traditional),Sports Bars",0.0,4.0
dmylotBWcIExhwyyft5bIw,Mayhew Bakery,"Food,Coffee & Tea,Pizza,Custom Cakes,Restaurants,Bakeries",0.0,4.0
x2xQUz1YfOzy5A9FRuCpMw,Passage To India,Restaurants,0.0,4.0
6q0uOiIZAnXEU2xkeTn1dw,The Niche,"Accessories,Home Decor,Home & Garden,Women's Clothing,Shopping,Fashion",0.0,4.0
5eldbLrF_oodWvu1VuEP8w,1925 Cocktail Lounge,"Restaurants,Bars,Adult Entertainment,Lounges,American (New),Nightlife",0.0,4.0
qeJ7HUUo-Cg75fxDV2dDbA,Allegiant Air,"Hotels & Travel,Airlines,Transportation",0.0,4.0
bCxz70CAsZ4XI9_HVmWaqw,Indy Artsy,"Arts & Crafts,Gift Shops,Shopping,Flowers & Gifts",0.0,4.0
s5wxHX-OEUctxVxgwTbvpw,Piper Boutique,"Women's Clothing,Shopping,Fashion",0.0,4.0
BqOFuYlf7wUgUvjEuefxOg,Zamzows,"Pet Sitting,Florists,Shopping,Home & Garden,Nurseries & Gardening,Pet Stores,Pets,Flowers & Gifts,Pet Services",0.0,4.0
FSiPq3GSzHOch1axV8VCKA,Blind Dog Tavern,"Nightlife,Bars,Speakeasies,Lounges,Dive Bars,Cocktail Bars,Pubs",0.0,4.0
ZtliyIRuWUJcg5-GeH3wCQ,Go Ape Zipline & Adventure Park,"Ziplining,Kids Activities,Event Planning & Services,Amusement Parks,Recreation Centers,Climbing,Active Life,Challenge Courses,Party & Event Planning",0.0,4.0
kmKHBCTec-e6H4aK7fD8Ag,Burger Bar at Gallo's,"Food,Burgers,Restaurants",0.0,4.0
08ZKDwgc7_djSZkawBu-nA,Chatime,"Coffee & Tea,Bubble Tea,Food,Juice Bars & Smoothies",0.0,4.0
eqWYd-1z04eTw8smFKBUOQ,Team Collision Center of Langhorne,"Auto Repair,Auto Parts & Supplies,Hotels & Travel,Car Rental,Automotive,Car Dealers",0.0,4.0
toR6giPJoOK_SFvEORGplA,The Long Center,"Active Life,Recreation Centers",0.0,4.0
ed4d6Q_3V9-ERsdy7CYxMg,Vintage Wine Bar,"Nightlife,Bars,Wine Bars",0.0,4.0
hGSrC6THEItv-tsZ_s2VEw,The Haverstick,"Shared Office Spaces,Home Services,Coffee & Tea,Real Estate,Food",0.0,4.0
l3mYwV8ORx0WEypNL8DNRw,Coco Blue Nail & Spa,"Beauty & Spas,Shopping,Nail Technicians,Nail Salons,Cosmetics & Beauty Supply",0.0,4.0
dRKiGi0mKgg-26fhzjoikw,Cherryberry,"Food,Ice Cream & Frozen Yogurt,Desserts",0.0,4.0
gP6yYo3SGaqfpjkk4zdKKA,Jet's Pizza,"Food Delivery Services,Food,Pizza,Salad,Restaurants,Sandwiches,Italian",0.0,4.0
VZzivJEbmHItOxNXJB3SpA,Subway,"Sandwiches,Fast Food,Restaurants",0.0,4.0
xZlP6e7S2RdWu5eB-fuNKw,Motel 6,"Hotels,Event Planning & Services,Hotels & Travel",0.0,4.0
sfEV1rUlRTvyBqSo_tyOiA,Frey's Deli And Pizza,"Pizza,Delis,Restaurants,Salad",0.0,4.0
Wx1paSGNKdusVGK9p096nw,Sligo,"Food,Comfort Food,Bars,Irish Pub,Pubs,Nightlife,Fish & Chips,Restaurants,Beer,Wine & Spirits",0.0,4.0
ArGw19nfPgjR28TTfgb7iw,Smith & Wollensky,"Restaurants,Steakhouses,Seafood",0.0,4.0
YU0XzRuCz0CiX3eNaTtwQw,Beijing House Buffet,"Buffets,Noodles,Restaurants,Chinese",0.0,4.0
MAOKiIWa32RZ9oQrvhyYog,Burrito Social,"Restaurants,Mexican,Tex-Mex",0.0,4.0
4eZ-elvoXx4m65uoz7ymzQ,Nina's Waffles & Ice Cream,"Waffles,Food Trucks,Food,Restaurants,Desserts,Ice Cream & Frozen Yogurt",0.0,4.0
Ni_2XWLEXNy-NToatWEoUQ,4th & Vine Wine Bar & Bistro,"French,Canadian (New),Bars,Wine Bars,Restaurants,Nightlife",0.0,4.0
