id,title,category,price,rating,user_id,remaining_interaction_string,query,classification,preferences,new_query,target_count,targets,primary_target_id,hit_rate,mrr,ndcgs,fail,pattern_used,direct_hr10,direct_mrr,direct_ndcg
208,Babyshambles,indie indie rock rock'n'roll punk britpop rock alternative british jazz alternat,0.0,4.0,10,437|436|434|433|432,"I enjoy listening to artists like JÃÂ³nsi, Silverchair, She Wants Revenge, Radiohead, Art Brut, M. Ward. I generally like alternative indie rock grunge goff music. Can you recommend similar music artists I might enjoy?",1,"The user likes: JÃÂ³nsi, Silverchair, She Wants Revenge, Radiohead, Art Brut","I enjoy listening to artists like JÃÂ³nsi, Silverchair, She Wants Revenge, Radiohead, Art Brut, M. Ward. I generally like alternative indie rock grunge goff music. Can you recommend similar music artists I might enjoy?",1,208|430|416|440|199|418|196,208,0.3,1.0,0.5416959429396926,0,template_11,0,0.0,0.0
2606,The Stone Roses,the beowulfs choice scholes song zadrotstvo touching song alternative 90s pop ro,0.0,4.0,100,298|331|712|1122|215,"I enjoy listening to artists like Public Image Ltd., Nouvelle Vague, Razorlight, Newton Faulkner, 2Pac, Jimi Hendrix. I generally like songs for chillout lounge seen music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Public Image Ltd., Nouvelle Vague, Razorlight, Newton Faulkner, 2Pac","I enjoy listening to artists like Public Image Ltd., Nouvelle Vague, Razorlight, Newton Faulkner, 2Pac, Jimi Hendrix. I generally like songs for chillout lounge seen music. Can you recommend similar music artists I might enjoy?",1,2606|203|228|229|618|2531|429,2606,0.35,1.0,0.7687896894521778,1,template_11,0,0.0,0.0
297,David Cook,american idol rock alternative rock alternative male vocalists 4m4zinq f4nt4stic,0.0,4.0,1001,3073|464|3859|681|2051,"I enjoy listening to artists like Lily Allen, Daft Punk, Boys Like Girls, U2, Owl City, Chris Crocker. I generally like pop female electronic dance rock music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Lily Allen, Daft Punk, Boys Like Girls, U2, Owl City","I enjoy listening to artists like Lily Allen, Daft Punk, Boys Like Girls, U2, Owl City, Chris Crocker. I generally like pop female electronic dance rock music. Can you recommend similar music artists I might enjoy?",1,297|2977|191|679|292|291|1459,297,0.9,1.0,0.9770153702993118,0,template_11,0,0.0,0.0
288,Rihanna,seen live hit pop dance rnb electronic female vocalists tecno female vocalist ra,0.0,4.0,1002,3314|279|1596|1001|310,"I enjoy listening to artists like Keri Hilson, Kate Ryan, September, Avril Lavigne, Mariah Carey, Ashlee Simpson. I generally like rnb hip pop female electronic music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Keri Hilson, Kate Ryan, September, Avril Lavigne, Mariah Carey","I enjoy listening to artists like Keri Hilson, Kate Ryan, September, Avril Lavigne, Mariah Carey, Ashlee Simpson. I generally like rnb hip pop female electronic music. Can you recommend similar music artists I might enjoy?",1,288|911|72|175|323|906,288,0.8,1.0,0.9830168297915423,0,template_11,0,0.0,0.0
77,George Michael,pop guilty pleasures 90s mellow love songs christmas chillout singer-songwriter ,0.0,4.0,1003,323|906|96|89|576,"I enjoy listening to artists like The Script, Kings of Leon, Cheryl Cole, The Human League, Goldfrapp, David Bowie. I generally like alternative pop rock indie british music. Can you recommend similar music artists I might enjoy?",1,"The user likes: The Script, Kings of Leon, Cheryl Cole, The Human League, Goldfrapp","I enjoy listening to artists like The Script, Kings of Leon, Cheryl Cole, The Human League, Goldfrapp, David Bowie. I generally like alternative pop rock indie british music. Can you recommend similar music artists I might enjoy?",1,77|55|157|959|3313|67,77,0.4,1.0,0.8617296360743736,0,template_11,0,0.0,0.0
1613,Jay-Z,hip-hop rap hip hop jazz american sexy usa top 40 madonna beyonce mellow justin ,0.0,4.0,1005,619|1950|1622|617|7665,"I enjoy listening to artists like Black Eyed Peas, Hot Chip, Gang Starr, Yeasayer, DJ Shadow, Dizzee Rascal. I generally like pop hip-hop british electropop black music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Black Eyed Peas, Hot Chip, Gang Starr, Yeasayer, DJ Shadow","I enjoy listening to artists like Black Eyed Peas, Hot Chip, Gang Starr, Yeasayer, DJ Shadow, Dizzee Rascal. I generally like pop hip-hop british electropop black music. Can you recommend similar music artists I might enjoy?",1,1613|331|1946|1627|1975,1613,0.7,1.0,0.9060294224445279,0,template_11,0,0.0,0.0
6137,AntÃÂ´nio Carlos Jobim,jazz brazilian mpb brasil bossa nova piano 70s latin male vocalist male vocalist,0.0,4.0,1006,55|227|618|735|261,"I enjoy listening to artists like Stereophonics, Cat Power, Rufus Wainwright, The White Stripes, BeyoncÃÂ©, Adriana Calcanhotto. I generally like rock alternative <3 excellent marisa music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Stereophonics, Cat Power, Rufus Wainwright, The White Stripes, BeyoncÃÂ©","I enjoy listening to artists like Stereophonics, Cat Power, Rufus Wainwright, The White Stripes, BeyoncÃÂ©, Adriana Calcanhotto. I generally like rock alternative <3 excellent marisa music. Can you recommend similar music artists I might enjoy?",1,6137|316|203|301|69|1764,6137,0.75,1.0,0.9603600911058546,0,template_11,0,0.0,0.0
6773,Say Anything,rock alternative emo acoustic bemis love the songs that make me sick with butter,0.0,4.0,1008,619|7152|6582|1717|3357,"I enjoy listening to artists like Weezer, Death Cab for Cutie, Franz Ferdinand, Nine Inch Nails, Swans, The Cure. I generally like autumn alternative indie rock winter music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Weezer, Death Cab for Cutie, Franz Ferdinand, Nine Inch Nails, Swans","I enjoy listening to artists like Weezer, Death Cab for Cutie, Franz Ferdinand, Nine Inch Nails, Swans, The Cure. I generally like autumn alternative indie rock winter music. Can you recommend similar music artists I might enjoy?",1,6773|3703|3417|8459|441,6773,0.7,1.0,0.9764093402750902,0,template_11,0,0.0,0.0
493,Lostprophets,rock alternative specials to 3mmey hard rock - metal alternative rock emo guilty,0.0,4.0,1009,472|2614|4177|1375|1091,"I enjoy listening to artists like Bon Jovi, Paradise Lost, Dashboard Confessional, Green Day, Apoptygma Berzerk, The Offspring. I generally like autumn hard doom metal marisa music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Bon Jovi, Paradise Lost, Dashboard Confessional, Green Day, Apoptygma Berzerk","I enjoy listening to artists like Bon Jovi, Paradise Lost, Dashboard Confessional, Green Day, Apoptygma Berzerk, The Offspring. I generally like autumn hard doom metal marisa music. Can you recommend similar music artists I might enjoy?",1,493|536|229|481|378|486,493,0.65,1.0,0.8924240266256964,0,template_11,0,0.0,0.0
498,Paramore,alternative pop punk punk rock punk pop rock female vocalists seen live indie em,0.0,4.0,101,1672|1047|1853|707|1929,"I enjoy listening to artists like Demi Lovato, Panic! At the Disco, Simple Plan, All Time Low, Cobra Starship, Weezer. I generally like disney pop alternative rock specials music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Demi Lovato, Panic! At the Disco, Simple Plan, All Time Low, Cobra Starship","I enjoy listening to artists like Demi Lovato, Panic! At the Disco, Simple Plan, All Time Low, Cobra Starship, Weezer. I generally like disney pop alternative rock specials music. Can you recommend similar music artists I might enjoy?",1,498|377|500|537|2617|816|1188,498,0.35,1.0,0.7548994169269694,0,template_11,0,0.0,0.0
1810,Def Leppard,hard rock 80s hair metal 90s fucking amazing nwobhm rock uk classic rock british,0.0,4.0,1010,157|2941|187|1885|3768,"I enjoy listening to artists like New Order, Enigma, Camouflage, George Michael, INXS, Nickelback. I generally like new wave chillout ambient electronic music. Can you recommend similar music artists I might enjoy?",1,"The user likes: New Order, Enigma, Camouflage, George Michael, INXS","I enjoy listening to artists like New Order, Enigma, Camouflage, George Michael, INXS, Nickelback. I generally like new wave chillout ambient electronic music. Can you recommend similar music artists I might enjoy?",1,1810|7927|877|2787|5254|2027|189,1810,0.65,1.0,0.8790658238148237,0,template_11,0,0.0,0.0
